pose_name,label,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,facing_direction
Chair Twist Pose,0,60,69,78,99,55,89,111,109,0.910447761
Bird Dog Pose,1,95,173,124,112,135,107,150,80,0.80620155
Standing Quad Stretch Pose,2,75,61,161,105,122,147,64,176,1
Revolved Side Angle Pose,3,70,101,150,160,114,73,145,118,0.910958904
Pyramid Pose,4,149,148,129,133,49,34,162,177,0.779816514
Goddess Pose,5,103,103,95,94,114,118,41,38,0.953488372
Standing Bow Pose,6,130,89,103,157,144,97,174,81,0.816326531
Standing Figure Four Pose,7,63,53,69,74,30,21,52,30,1
Revolved Triangle Pose,8,96,80,151,164,119,90,142,158,0.905109489
Standing Spinal Twist Pose,9,27,30,103,100,148,168,166,178,0.827586207
Boat Pose,10,76,47,122,115,73,58,163,152,0.812834225
Bow Pose,11,69,66,148,135,120,116,75,93,0.806451613
Bridge Pose,12,63,74,158,143,139,112,80,63,0.647058824
Butterfly Pose,13,85,86,149,149,55,46,21,31,1
Cactus Pose,14,107,108,124,125,73,74,46,45,0.987179487
Camel Pose,15,53,88,150,160,110,88,92,74,0.845360825
Cat Cow Pose,16,74,78,156,161,107,103,74,64,0.529411765
Cobra Pose,17,31,24,148,128,131,132,166,154,0.898148148
Corpse Pose,18,67,33,151,108,169,158,179,158,0.849673203
Crescent Lunge Twist Pose,19,57,61,89,120,163,94,160,98,0.955882353
Assisted Side Bend Pose,20,52,146,92,159,107,138,107,102,0.948717949
Extended Side Angle Pose,21,80,131,154,177,54,164,87,115,0.951612903
Gate Pose,22,163,59,171,110,139,68,87,138,0.950413223
Half Forward Bend Pose,23,123,110,118,111,89,54,164,148,0.9
Half Lord Of The Fishes Pose,24,90,7,151,164,79,93,32,99,0.823232323
Half Moon Pose,25,79,99,162,137,105,161,155,142,0.873493976
Half Split Pose,26,54,53,141,156,136,101,74,170,0.948275862
Head To Knee Forward Bend Pose,27,119,124,117,138,25,14,20,147,0.738636364
Hero Pose,28,31,8,112,121,98,97,44,61,0.75862069
Lizard Pose,29,81,105,107,85,165,34,143,48,0.97260274
Dancer Pose,30,115,102,129,174,154,74,168,76,0.898113208
Low Lunge Pose,31,151,161,106,120,92,94,118,81,0.836601307
Lunging Calf Stretch Pose,32,37,46,105,99,142,162,135,152,0.872340426
Mountain Pose,33,12,18,109,124,166,157,143,125,0.888888889
Plow Pose,34,97,86,148,140,53,50,168,175,0.415929204
King Pigeon Pose,35,161,162,69,64,102,109,65,27,0.848101266
Reverse Warrior Pose,36,153,38,151,167,105,116,70,133,0.890410959
Revolved Head To Knee Pose,37,157,93,157,99,129,28,19,135,0.981132075
Salutation Seal Pose,38,41,47,78,90,94,94,40,33,1
Side Neck Stretch Pose,39,95,18,70,126,148,153,168,164,0.986666667
Side Plank Pose,40,103,108,142,159,75,117,179,136,0.878787879
Side Reclining Leg Lift Pose,41,115,154,152,97,52,142,156,98,0.906976744
Standing Bent Over Calf Strength Pose,42,122,104,133,121,122,115,130,156,0.7
Easy Pose,43,34,33,121,129,79,91,44,40,0.957446809
Upward Salute Side Bend Pose,44,155,127,125,157,144,163,153,134,0.910447761
Big Toe Pose,45,34,107,127,132,164,48,146,120,0.882352941
Tree Pose,46,52,38,124,140,149,126,124,8,0.924050633
Triangle Pose,47,118,95,159,156,80,145,166,148,0.929411765
Upward Salute Pose,48,137,136,175,174,173,173,119,123,0.785714286
The Chair Pose,49,137,151,107,144,75,75,103,93,0.746031746
Warrior 1 Pose,50,151,160,141,130,128,133,123,162,0.614973262
Warrior 2 Pose,51,101,100,145,145,105,87,118,84,0.862348178
Warrior 3 Pose,52,165,135,85,158,125,116,170,167,0.782258065
