pose_name,Elbow_Avg,Elbow_Min,Elbow_Max,Knee_Avg,Knee_Min,Knee_Max,Hip_Avg,Hip_Min,Hip_Max
Triangle Pose (Trikonasana),42.29593558,8.244656134,76.34721503,52.2556093,20.39501148,84.11620713,77.81871987,38.35780091,117.2796388
Warrior I Pose (Virabhadrasana I),60.79278366,26.67787353,94.90769378,62.02947544,23.97217278,100.0867781,80.60232843,45.6352343,115.5694226
Warrior II Pose (Virabhadrasana II),39.22254246,13.92847169,64.51661323,80.61017202,52.35870875,108.8616353,69.61642863,40.33280412,98.90005315
Standing Forward Bend Pose (Uttanasana),55.47645187,18.54845724,92.40444649,79.40066511,32.32808592,126.4732443,116.8146218,76.64157563,156.9876679
Vrikshasana (The Tree Pose),58.21225772,20.0257715,96.39874394,95.1948115,43.5644651,146.8251579,85.61317495,40.64498857,130.5813613
Downward Facing Dog Pose (Adho Mukha Svanasana),70.3430672,33.77397836,106.912156,30.36785525,7.921466334,52.81424417,116.2619989,80.88397915,151.6400186
Utkatasana (The Chair Pose),69.71772458,32.197156,107.2382932,82.30418421,39.95610804,124.6522604,94.25089486,55.8910664,132.6107233
Sukhasana (Easy Pose),57.00155169,38.46957607,75.5335273,141.7426824,119.2712362,164.2141287,88.37537136,64.51233262,112.2384101
Butterfly Pose_Bound Angle Pose (Baddha Konasana),50.36618867,24.42531881,76.30705854,115.5909519,72.77491782,158.406986,105.553134,71.86991574,139.2363522
Eagle Pose (Garudasana),62.20100051,21.48213575,102.9198653,96.83564824,46.04713367,147.6241628,82.57621779,41.20012406,123.9523115
Legs Up the Wall Pose (Viparita Karani),56.4487013,22.48426258,90.41314001,51.62351015,11.15071786,92.09630243,80.2753957,45.81657925,114.7342122
Low Lunge Pose (Anjaneyasana),53.6595701,23.00278453,84.31635566,71.58251879,36.15327322,107.0117644,73.92498195,43.23292887,104.617035
Mountain Pose (Tadasana),66.68471042,24.16882943,109.2005914,61.85296088,20.89028905,102.8156327,58.47253518,25.05840611,91.88666424
Paschimottanasana (The Seated Forward Bend),69.60979401,34.38698555,104.8326025,58.46116293,13.01303223,103.9092936,110.6268597,66.1649261,155.0887932
Chair Twist Pose,68.85608443,34.60909015,103.1030787,68.52941715,29.26040984,107.7984245,90.90796066,44.79263281,137.0232885
Lizard Pose,61.50329779,31.58267739,91.42391819,49.65687632,10.57699826,88.73675437,65.29271173,28.54919613,102.0362273
Crescent Lunge Twist Yoga Pose,58.87810052,23.81127951,93.94492153,58.51105608,16.33500889,100.6871033,66.99765586,19.52006051,114.4752512
Revolved Janosha Shansana,56.73619326,26.50147344,86.97091308,82.92853499,26.96798889,138.8890811,98.62427838,58.42665492,138.8219018
Wind Relieving Pose,65.73836833,34.35141891,97.12531774,91.10156854,46.51123391,135.6919032,104.9117947,63.5652788,146.2583107
Bird Dog Pose,56.89582711,23.3892358,90.40241841,53.00024748,16.69189848,89.30859648,62.44526787,26.12049016,98.77004558
Side Neck Stretch,63.73378226,27.41159243,100.0559721,82.60932857,34.161863,131.0567941,71.07654133,22.54198815,119.6110945
Half Moon Pose,46.14110217,12.13243706,80.14976728,44.80935168,14.81010107,74.8086023,69.21919593,34.48131049,103.9570814
