pose_name,label,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,facing_direction
Chair Twist Pose,0,127.95331367723496,127.95331367723496,148.15471865339254,148.15471865339254,169.9065034396495,169.9065034396495,140.6215858549118,140.6215858549118,1.0
Bird Dog Pose,1,92.50901409961229,92.50901409961229,130.25513825340693,130.25513825340693,116.33719108244917,116.33719108244917,152.21218428965196,152.21218428965196,1.0
Standing Quad Stretch Pose,2,96.49215668252003,96.49215668252003,133.5049086993252,133.5049086993252,106.1147134459044,106.1147134459044,102.53647949570698,102.53647949570698,1.0
Revolved Side Angle Pose,3,81.46439119332186,81.46439119332186,134.3441512487103,134.3441512487103,115.88479516271344,115.88479516271344,70.65856431493691,70.65856431493691,1.0
Pyramid Pose,4,60.98403890772804,60.98403890772804,145.12629397244464,145.12629397244464,152.2741902438595,152.2741902438595,124.46271665488314,124.46271665488314,1.0
Goddess Pose,5,135.54387819222387,135.54387819222387,99.34473753592792,99.34473753592792,92.34072531100064,92.34072531100064,115.30132422199893,115.30132422199893,1.0
Standing Bow Pose,6,39.83281219614245,39.83281219614245,79.45476628319985,79.45476628319985,171.3363671004089,171.3363671004089,169.67115478390787,169.67115478390787,1.0
Standing Figure Four Pose,7,148.78416051250645,148.78416051250645,126.61665496405266,126.61665496405266,129.71489152189753,129.71489152189753,148.34247575386897,148.34247575386897,0.0
Revolved Triangle Pose,8,141.18445820927963,141.18445820927963,105.40452142017764,105.40452142017764,127.11652405980902,127.11652405980902,157.81524821160764,157.81524821160764,0.0
Standing Spinal Twist Pose,9,140.51531114336672,140.51531114336672,132.0439225674652,132.0439225674652,161.17551895984369,161.17551895984369,147.12993479543567,147.12993479543567,1.0
Boat Pose,10,111.10637190574124,111.10637190574124,113.84386076200737,113.84386076200737,26.85151242334811,26.85151242334811,47.90775631097513,47.90775631097513,1.0
Bow Pose,11,127.29440417257506,127.29440417257506,116.2438675199692,116.2438675199692,85.57546723141685,85.57546723141685,83.05223126934598,83.05223126934598,1.0
Bridge Pose,12,118.60939532240327,118.60939532240327,88.65395354772363,88.65395354772363,120.11306539669418,120.11306539669418,131.07619824037647,131.07619824037647,1.0
Butterfly Pose,13,60.18739919798215,60.18739919798215,82.49136211455574,82.49136211455574,164.7039058568961,164.7039058568961,138.19776684113685,138.19776684113685,1.0
Cactus Pose,14,133.3806068699333,133.3806068699333,117.21710230874947,117.21710230874947,107.3348679319649,107.3348679319649,147.1899664565097,147.1899664565097,1.0
Camel Pose,15,110.30975538526238,110.30975538526238,139.81523479657892,139.81523479657892,116.11331040197658,116.11331040197658,123.35390495100415,123.35390495100415,1.0
Cat Cow Pose,16,105.55670084321856,105.55670084321856,146.98156726061637,146.98156726061637,77.80862958939343,77.80862958939343,137.96431729894002,137.96431729894002,1.0
Cobra Pose,17,94.20748929287772,94.20748929287772,159.66067883987031,159.66067883987031,92.94957423207605,92.94957423207605,136.59394931961938,136.59394931961938,1.0
Corpse Pose,18,50.30679988808222,50.30679988808222,96.21165218014104,96.21165218014104,91.74022817762962,91.74022817762962,41.35441754355881,41.35441754355881,1.0
Crescent Lunge Twist Pose,19,99.73764915878075,99.73764915878075,145.62837941542813,145.62837941542813,98.28856686792872,98.28856686792872,155.99166458706034,155.99166458706034,1.0
Assisted Side Bend Pose,20,49.863075859495446,49.863075859495446,98.84014000431183,98.84014000431183,148.46483107997247,148.46483107997247,151.4343596380162,151.4343596380162,1.0
Extended Side Angle Pose,21,138.61062201239716,138.61062201239716,102.48147032353708,102.48147032353708,94.80970155108918,94.80970155108918,95.29478898596328,95.29478898596328,1.0
Gate Pose,22,93.98785833665758,93.98785833665758,130.51941561864118,130.51941561864118,48.08680322449106,48.08680322449106,166.37891742086902,166.37891742086902,1.0
Half Forward Bend Pose,23,90.07218555603752,90.07218555603752,99.65836907918968,99.65836907918968,83.1982847616915,83.1982847616915,110.98657699991796,110.98657699991796,1.0
Half Lord Of The Fishes Pose,24,10.528104748000043,10.528104748000043,87.42260143219778,87.42260143219778,137.83978540246505,137.83978540246505,115.7741061688067,115.7741061688067,1.0
Half Moon Pose,25,46.79158297946076,46.79158297946076,90.50249935905582,90.50249935905582,94.32785736510256,94.32785736510256,174.51006831520732,174.51006831520732,1.0
Half Split Pose,26,163.1191838780755,163.1191838780755,57.24420291745607,57.24420291745607,106.8727179957548,106.8727179957548,44.37676762955785,44.37676762955785,1.0
Head To Knee Forward Bend Pose,27,16.897395123279082,16.897395123279082,112.02283140181692,112.02283140181692,97.52582073630148,97.52582073630148,46.86496676199306,46.86496676199306,1.0
Hero Pose,28,92.39063239829414,92.39063239829414,94.73394172001709,94.73394172001709,16.89657347132332,16.89657347132332,101.54464453374456,101.54464453374456,1.0
Lizard Pose,29,94.98281139727236,94.98281139727236,165.91250355571816,165.91250355571816,111.94193413391032,111.94193413391032,106.57526129511773,106.57526129511773,1.0
Dancer Pose,30,48.41817610396222,48.41817610396222,125.41308898535983,125.41308898535983,71.95540734093834,71.95540734093834,49.72576437139753,49.72576437139753,1.0
Low Lunge Pose,31,73.28254617839734,73.28254617839734,127.86336440849492,127.86336440849492,118.4036104302634,118.4036104302634,53.57964887683434,53.57964887683434,1.0
Lunging Calf Stretch Pose,32,114.12509416210044,114.12509416210044,120.53833581841404,120.53833581841404,60.86550545925414,60.86550545925414,151.05453109414776,151.05453109414776,1.0
Mountain Pose,33,125.56198735867191,125.56198735867191,156.07396825650568,156.07396825650568,88.66061283466927,88.66061283466927,97.08991058016288,97.08991058016288,1.0
Plow Pose,34,49.72031330442013,49.72031330442013,153.50078882377937,153.50078882377937,122.63265836763142,122.63265836763142,127.45906123865002,127.45906123865002,1.0
King Pigeon Pose,35,107.15367356265276,107.15367356265276,127.35794256346828,127.35794256346828,72.20867355058087,72.20867355058087,40.606434971993934,40.606434971993934,1.0
Reverse Warrior Pose,36,112.37578218776396,112.37578218776396,148.2455828247704,148.2455828247704,116.77068213008758,116.77068213008758,121.02482623603385,121.02482623603385,1.0
Revolved Head To Knee Pose,37,97.88604189741504,97.88604189741504,136.88751600182457,136.88751600182457,132.05601224454065,132.05601224454065,150.5098904314736,150.5098904314736,1.0
Salutation Seal Pose,38,113.26952185781565,113.26952185781565,151.77755392548812,151.77755392548812,105.5958631155476,105.5958631155476,124.7553309048252,124.7553309048252,1.0
Side Neck Stretch Pose,39,64.35537434303755,64.35537434303755,126.0242099399049,126.0242099399049,125.229351422109,125.229351422109,141.59561643298807,141.59561643298807,1.0
