pose_name,label,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,facing_direction
Chair Twist Pose,0,77.66856857,77.66856857,111.8496688,111.8496688,70.62062761,70.62062761,108.8777745,108.8777745,0.910447761
Bird Dog Pose,1,107.7813206,107.7813206,135.8139582,135.8139582,123.2388278,123.2388278,113.8008777,113.8008777,0.80620155
Standing Quad Stretch Pose,2,57.41789642,57.41789642,130.2440609,130.2440609,144.2349683,144.2349683,109.8669412,109.8669412,1
Revolved Side Angle Pose,3,87.09710439,87.09710439,133.8842149,133.8842149,109.3685848,109.3685848,131.2449473,131.2449473,0.910958904
Pyramid Pose,4,86.26422897,86.26422897,117.8901502,117.8901502,69.97877226,69.97877226,161.476139,161.476139,0.779816514
Goddess Pose,5,90.30836235,90.30836235,126.4841866,126.4841866,96.3573043,96.3573043,55.31588043,55.31588043,0.953488372
Standing Bow Pose,6,109.5805403,109.5805403,145.2005036,145.2005036,113.6356375,113.6356375,127.1967093,127.1967093,0.816326531
Standing Figure Four Pose,7,82.72610711,82.72610711,117.2527887,117.2527887,67.73977248,67.73977248,68.06916602,68.06916602,1
Revolved Triangle Pose,8,101.9630228,101.9630228,150.6694833,150.6694833,103.7933505,103.7933505,153.334221,153.334221,0.905109489
Standing Spinal Twist Pose,9,64.24099578,64.24099578,123.5184518,123.5184518,159.9015095,159.9015095,142.3261127,142.3261127,0.827586207
Boat Pose,10,70.71139854,70.71139854,121.3382224,121.3382224,68.45669192,68.45669192,148.1407327,148.1407327,0.812834225
Bow Pose,11,81.02773178,81.02773178,159.3327454,159.3327454,96.67049579,96.67049579,101.7452728,101.7452728,0.806451613
Bridge Pose,12,57.03400176,57.03400176,146.3501298,146.3501298,144.0762245,144.0762245,77.24433092,77.24433092,0.647058824
Butterfly Pose,13,61.35499321,61.35499321,132.2086093,132.2086093,76.21951176,76.21951176,35.8396025,35.8396025,1
Cactus Pose,14,103.7412543,103.7412543,124.3841612,124.3841612,79.1341982,79.1341982,47.15921707,47.15921707,0.987179487
Camel Pose,15,70.88875732,70.88875732,154.4110077,154.4110077,109.9497695,109.9497695,93.06157621,93.06157621,0.845360825
Cat_Cow_Pose_or_Marjaryasana_,16,80.73274972,80.73274972,142.516165,142.516165,104.2873452,104.2873452,87.33725284,87.33725284,0.529411765
Cobra_Pose_or_Bhujangasana_,17,45.59576607,45.59576607,134.4379385,134.4379385,126.4431166,126.4431166,150.642377,150.642377,0.898148148
Corpse_Pose_or_Savasana_,18,54.23137703,54.23137703,143.3697875,143.3697875,152.5750993,152.5750993,154.2061009,154.2061009,0.849673203
