pose_name,label,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,facing_direction
Chair Twist Pose,0,46,82,25,45,53,87,108,117,0.910447761
Bird Dog Pose,1,87,177,175,175,178,104,168,84,0.80620155
Standing Quad Stretch Pose,2,18,54,179,138,170,168,38,174,1
Revolved Side Angle Pose,3,88,138,168,169,120,50,171,117,0.910958904
Pyramid Pose,4,44,50,12,18,108,81,177,178,0.779816514
Goddess Pose,5,95,97,96,97,83,90,85,86,0.953488372
Standing Bow Pose,6,149,70,174,176,142,107,173,93,0.816326531
Standing Figure Four Pose,7,29,27,65,75,170,88,169,28,1
Revolved Triangle Pose,8,90,93,173,162,127,76,171,177,0.905109489
Standing Spinal Twist Pose,9,19,14,10,15,178,178,177,177,0.827586207
Boat Pose,10,45,48,166,163,59,53,158,157,0.812834225
Bow Pose,11,68,64,164,157,120,120,80,80,0.806451613
Bridge Pose,12,60,56,178,178,135,136,76,70,0.647058824
Butterfly Pose,13,1,2,178,179,58,65,12,12,1
Cactus Pose,14,92,101,97,107,97,92,98,90,0.987179487
Camel Pose,15,48,53,169,172,120,116,100,86,0.845360825
Cat Cow Pose,16,68,69,178,179,111,111,68,68,0.529411765
Cobra Pose,17,8,5,145,144,132,130,164,166,0.898148148
Corpse Pose,18,17,12,171,172,169,168,178,178,0.849673203
Crescent Lunge Twist Pose,19,35,58,33,63,175,90,173,116,0.955882353
Assisted Side Bend Pose,20,37,162,174,154,106,149,178,164,0.948717949
Extended Side Angle Pose,21,47,172,162,170,56,169,112,176,0.951612903
Gate Pose,22,166,61,174,172,161,79,28,178,0.950413223
Half Forward Bend Pose,23,107,104,171,168,50,54,158,160,0.9
Half Lord Of The Fishes Pose,24,16,5,19,173,93,58,19,92,0.823232323
Half Moon Pose,25,95,103,176,175,100,163,178,173,0.873493976
Half Split Pose,26,44,44,179,179,141,93,70,179,0.948275862
Head To Knee Forward Bend Pose,27,89,103,112,151,20,25,171,172,0.738636364
Hero Pose,28,2,0,121,124,103,104,18,17,0.75862069
Lizard Pose,29,83,93,114,93,162,27,166,67,0.97260274
Dancer Pose,30,132,65,169,175,154,101,170,109,0.898113208
Low Lunge Pose,31,159,157,166,155,89,147,83,118,0.836601307
Lunging Calf Stretch Pose,32,27,13,118,131,145,167,140,179,0.872340426
Mountain Pose,33,10,12,168,160,179,177,176,177,0.888888889
Plow Pose,34,97,92,167,166,46,48,175,175,0.415929204
King Pigeon Pose,35,167,170,64,44,117,104,21,58,0.848101266
Reverse Warrior Pose,36,170,31,158,179,115,118,104,179,0.890410959
Revolved Head To Knee Pose,37,161,99,144,100,177,30,23,158,0.981132075
Salutation Seal Pose,38,34,36,58,47,107,93,24,16,1
Side Neck Stretch Pose,39,113,24,50,177,164,158,172,172,0.986666667
Side Plank Pose,40,97,93,172,175,61,129,179,179,0.878787879
Side Reclining Leg Lift Pose,41,109,162,171,56,54,169,179,159,0.906976744
Standing Bent Over Calf Strength Pose,42,105,103,165,164,109,166,105,144,0.7
Easy Pose,43,15,16,100,113,60,71,6,8,0.957446809
Upward Salute Side Bend Pose,44,150,151,158,144,164,162,178,176,0.910447761
Big Toe Pose,45,26,100,144,171,175,50,178,169,0.882352941
Tree Pose,46,74,88,137,130,157,74,131,9,1
Triangle Pose,47,99,89,174,169,32,155,162,171,0.929411765
Upward Salute Pose,48,166,172,169,172,175,175,177,172,0.785714286
The Chair Pose,49,144,145,147,144,68,65,97,92,0.746031746
Warrior 1 Pose,50,175,177,171,169,129,155,130,165,0.614973262
Warrior 2 Pose,51,98,89,166,163,143,109,172,117,0.862348178
Warrior 3 Pose,52,170,164,170,168,166,107,175,168,0.782258065
